quoted_at,outward_code,representative_postcode,address1,destination_label,service_window,pickup_after,deliver_before,requested_vehicle,requested_vehicle_type,quote_status,http_status,price_net,price_gross,returned_vehicle_type,pickup_eta,delivery_eta,min_realistic_time,error
2026-05-05T04:16:57+00:00,SW11,SW11 8BJ,1 Electric Boulevard,Battersea Power Station,direct_now_asap,,,pushbike,10,ok,200,10.12 GBP,12.14 GBP,10,2026-05-05T05:48:06+01:00,2026-05-05T06:18:03+01:00,54,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,SW11,SW11 8BJ,1 Electric Boulevard,Battersea Power Station,direct_now_asap,,,motorcycle,20,ok,200,12.13 GBP,14.56 GBP,20,2026-05-05T05:48:07+01:00,2026-05-05T06:15:42+01:00,56,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,EC1,EC1R 4TN,Rosebery Avenue,Sadler's Wells Theatre,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:17:22+01:00,41,
2026-05-05T04:16:57+00:00,EC1,EC1R 4TN,Rosebery Avenue,Sadler's Wells Theatre,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,8.24 GBP,9.89 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:18:30+01:00,47,
2026-05-05T04:16:57+00:00,EC1,EC1R 4TN,Rosebery Avenue,Sadler's Wells Theatre,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:17:22+01:00,41,
2026-05-05T04:16:57+00:00,EC1,EC1R 4TN,Rosebery Avenue,Sadler's Wells Theatre,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,8.24 GBP,9.89 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:18:30+01:00,47,
2026-05-05T04:16:57+00:00,EC1,EC1R 4TN,Rosebery Avenue,Sadler's Wells Theatre,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:17:22+01:00,41,
2026-05-05T04:16:57+00:00,EC1,EC1R 4TN,Rosebery Avenue,Sadler's Wells Theatre,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,8.73 GBP,10.48 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:18:30+01:00,47,
2026-05-05T04:16:57+00:00,EC1,EC1R 4TN,Rosebery Avenue,Sadler's Wells Theatre,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:17:22+01:00,41,
2026-05-05T04:16:57+00:00,EC1,EC1R 4TN,Rosebery Avenue,Sadler's Wells Theatre,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,8.73 GBP,10.48 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:18:30+01:00,47,
2026-05-05T04:16:57+00:00,EC1,EC1R 4TN,Rosebery Avenue,Sadler's Wells Theatre,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:17:22+01:00,41,
2026-05-05T04:16:57+00:00,EC1,EC1R 4TN,Rosebery Avenue,Sadler's Wells Theatre,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,8.73 GBP,10.48 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:18:30+01:00,47,
2026-05-05T04:16:57+00:00,EC1,EC1R 4TN,Rosebery Avenue,Sadler's Wells Theatre,direct_now_asap,,,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T05:48:21+01:00,2026-05-05T06:05:43+01:00,41,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,EC1,EC1R 4TN,Rosebery Avenue,Sadler's Wells Theatre,direct_now_asap,,,motorcycle,20,ok,200,8.24 GBP,9.89 GBP,20,2026-05-05T05:48:22+01:00,2026-05-05T06:06:52+01:00,47,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,E1,E1 7QX,77-82 Whitechapel High Street,Whitechapel Gallery,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,9.40 GBP,11.28 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:27:29+01:00,51,
2026-05-05T04:16:57+00:00,E1,E1 7QX,77-82 Whitechapel High Street,Whitechapel Gallery,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,11.35 GBP,13.62 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:26:00+01:00,54,
2026-05-05T04:16:57+00:00,E1,E1 7QX,77-82 Whitechapel High Street,Whitechapel Gallery,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,9.40 GBP,11.28 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:27:29+01:00,51,
2026-05-05T04:16:57+00:00,E1,E1 7QX,77-82 Whitechapel High Street,Whitechapel Gallery,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,11.35 GBP,13.62 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:26:00+01:00,54,
2026-05-05T04:16:57+00:00,E1,E1 7QX,77-82 Whitechapel High Street,Whitechapel Gallery,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,9.40 GBP,11.28 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:27:29+01:00,51,
2026-05-05T04:16:57+00:00,E1,E1 7QX,77-82 Whitechapel High Street,Whitechapel Gallery,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,11.69 GBP,14.03 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:26:00+01:00,54,
2026-05-05T04:16:57+00:00,E1,E1 7QX,77-82 Whitechapel High Street,Whitechapel Gallery,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,9.40 GBP,11.28 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:27:29+01:00,51,
2026-05-05T04:16:57+00:00,E1,E1 7QX,77-82 Whitechapel High Street,Whitechapel Gallery,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,11.69 GBP,14.03 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:26:00+01:00,54,
2026-05-05T04:16:57+00:00,E1,E1 7QX,77-82 Whitechapel High Street,Whitechapel Gallery,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,9.40 GBP,11.28 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:27:29+01:00,51,
2026-05-05T04:16:57+00:00,E1,E1 7QX,77-82 Whitechapel High Street,Whitechapel Gallery,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,11.69 GBP,14.03 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:26:00+01:00,54,
2026-05-05T04:16:57+00:00,E1,E1 7QX,77-82 Whitechapel High Street,Whitechapel Gallery,direct_now_asap,,,pushbike,10,ok,200,9.40 GBP,11.28 GBP,10,2026-05-05T05:48:34+01:00,2026-05-05T06:16:03+01:00,51,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,E1,E1 7QX,77-82 Whitechapel High Street,Whitechapel Gallery,direct_now_asap,,,motorcycle,20,ok,200,11.35 GBP,13.62 GBP,20,2026-05-05T05:48:35+01:00,2026-05-05T06:14:35+01:00,54,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,N1,N1 0QH,52 Upper Street,Business Design Centre,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.98 GBP,9.58 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:21:42+01:00,46,
2026-05-05T04:16:57+00:00,N1,N1 0QH,52 Upper Street,Business Design Centre,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,9.02 GBP,10.82 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:20:42+01:00,49,
2026-05-05T04:16:57+00:00,N1,N1 0QH,52 Upper Street,Business Design Centre,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.98 GBP,9.58 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:21:42+01:00,46,
2026-05-05T04:16:57+00:00,N1,N1 0QH,52 Upper Street,Business Design Centre,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,9.02 GBP,10.82 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:20:42+01:00,49,
2026-05-05T04:16:57+00:00,N1,N1 0QH,52 Upper Street,Business Design Centre,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,8.14 GBP,9.77 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:21:42+01:00,46,
2026-05-05T04:16:57+00:00,N1,N1 0QH,52 Upper Street,Business Design Centre,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,10.10 GBP,12.12 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:20:42+01:00,49,
2026-05-05T04:16:57+00:00,N1,N1 0QH,52 Upper Street,Business Design Centre,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,8.14 GBP,9.77 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:21:42+01:00,46,
2026-05-05T04:16:57+00:00,N1,N1 0QH,52 Upper Street,Business Design Centre,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,10.10 GBP,12.12 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:20:42+01:00,49,
2026-05-05T04:16:57+00:00,N1,N1 0QH,52 Upper Street,Business Design Centre,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,8.14 GBP,9.77 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:21:42+01:00,46,
2026-05-05T04:16:57+00:00,N1,N1 0QH,52 Upper Street,Business Design Centre,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,10.10 GBP,12.12 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:20:42+01:00,49,
2026-05-05T04:16:57+00:00,N1,N1 0QH,52 Upper Street,Business Design Centre,direct_now_asap,,,pushbike,10,ok,200,7.98 GBP,9.58 GBP,10,2026-05-05T05:48:48+01:00,2026-05-05T06:10:30+01:00,46,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,N1,N1 0QH,52 Upper Street,Business Design Centre,direct_now_asap,,,motorcycle,20,ok,200,9.02 GBP,10.82 GBP,20,2026-05-05T05:48:50+01:00,2026-05-05T06:09:32+01:00,49,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,NW1,NW1 2DB,96 Euston Road,The British Library,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:16:56+01:00,41,
2026-05-05T04:16:57+00:00,NW1,NW1 2DB,96 Euston Road,The British Library,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:16:22+01:00,44,
2026-05-05T04:16:57+00:00,NW1,NW1 2DB,96 Euston Road,The British Library,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:16:56+01:00,41,
2026-05-05T04:16:57+00:00,NW1,NW1 2DB,96 Euston Road,The British Library,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:16:22+01:00,44,
2026-05-05T04:16:57+00:00,NW1,NW1 2DB,96 Euston Road,The British Library,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:16:56+01:00,41,
2026-05-05T04:16:57+00:00,NW1,NW1 2DB,96 Euston Road,The British Library,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:16:22+01:00,44,
2026-05-05T04:16:57+00:00,NW1,NW1 2DB,96 Euston Road,The British Library,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:16:56+01:00,41,
2026-05-05T04:16:57+00:00,NW1,NW1 2DB,96 Euston Road,The British Library,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:16:22+01:00,44,
2026-05-05T04:16:57+00:00,NW1,NW1 2DB,96 Euston Road,The British Library,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:16:56+01:00,41,
2026-05-05T04:16:57+00:00,NW1,NW1 2DB,96 Euston Road,The British Library,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:16:22+01:00,44,
2026-05-05T04:16:57+00:00,NW1,NW1 2DB,96 Euston Road,The British Library,direct_now_asap,,,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T05:49:03+01:00,2026-05-05T06:05:59+01:00,41,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,NW1,NW1 2DB,96 Euston Road,The British Library,direct_now_asap,,,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T05:49:04+01:00,2026-05-05T06:05:26+01:00,44,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,SE1,SE1 9PX,Upper Ground,National Theatre,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:18:06+01:00,42,
2026-05-05T04:16:57+00:00,SE1,SE1 9PX,Upper Ground,National Theatre,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,9.02 GBP,10.82 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:20:16+01:00,48,
2026-05-05T04:16:57+00:00,SE1,SE1 9PX,Upper Ground,National Theatre,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:18:06+01:00,42,
2026-05-05T04:16:57+00:00,SE1,SE1 9PX,Upper Ground,National Theatre,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,9.02 GBP,10.82 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:20:16+01:00,48,
2026-05-05T04:16:57+00:00,SE1,SE1 9PX,Upper Ground,National Theatre,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:18:06+01:00,42,
2026-05-05T04:16:57+00:00,SE1,SE1 9PX,Upper Ground,National Theatre,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,10.00 GBP,12.00 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:20:16+01:00,48,
2026-05-05T04:16:57+00:00,SE1,SE1 9PX,Upper Ground,National Theatre,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:18:06+01:00,42,
2026-05-05T04:16:57+00:00,SE1,SE1 9PX,Upper Ground,National Theatre,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,10.00 GBP,12.00 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:20:16+01:00,48,
2026-05-05T04:16:57+00:00,SE1,SE1 9PX,Upper Ground,National Theatre,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:18:06+01:00,42,
2026-05-05T04:16:57+00:00,SE1,SE1 9PX,Upper Ground,National Theatre,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,10.00 GBP,12.00 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:20:16+01:00,48,
2026-05-05T04:16:57+00:00,SE1,SE1 9PX,Upper Ground,National Theatre,direct_now_asap,,,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T05:49:17+01:00,2026-05-05T06:07:23+01:00,42,direct flag not set; no documented quote field
