zone_band,outward_code,label,address1,city,postcode,source
zone1,W1B,Apple Regent Street,235 Regent Street,London,W1B 2EL,public commercial address
zone1,W1C,Bond Street Station,Oxford Street,London,W1C 2JS,public transport address
zone1,W1D,Chinatown London,Gerrard Street,London,W1D 6QF,public district address
zone1,W1F,Carnaby Street,Carnaby Street,London,W1F 9PS,public retail address
zone1,W1G,Harley Street Clinic,35 Weymouth Street,London,W1G 8BJ,public medical address
zone1,W1H,Marble Arch Station,Oxford Street,London,W1H 7EJ,public transport address
zone1,W1J,The Ritz London,150 Piccadilly,London,W1J 9BR,public hotel address
zone1,W1K,Grosvenor Square,Grosvenor Square,London,W1K 6JP,public square address
zone1,W1S,Savile Row,Savile Row,London,W1S 3PQ,public street address
zone1,W1T,The Fitzroy Tavern,16 Charlotte Street,London,W1T 2LY,public commercial address
zone1,W1U,Daunt Books Marylebone,84 Marylebone High Street,London,W1U 4QW,public retail address
zone1,W1W,The Yorkshire Grey,46 Langham Street,London,W1W 7AX,public commercial address
zone1,WC1,The British Museum,Great Russell Street,London,WC1B 3DG,public landmark address
zone1,WC2,Royal Opera House,Bow Street,London,WC2E 9DD,public venue address
zone1,EC1,Sadler's Wells Theatre,Rosebery Avenue,London,EC1R 4TN,public venue address
zone1,EC2,Liverpool Street Station,Bishopsgate,London,EC2M 7PY,public transport address
zone1,EC3,Tower Hill Station,Trinity Square,London,EC3N 4DJ,public transport address
zone1,EC4,St Paul's Cathedral,St Paul's Churchyard,London,EC4M 8AD,public landmark address
zone1,SW1,Buckingham Palace,Buckingham Palace,London,SW1A 1AA,public landmark address
zone1,SE1,National Theatre,Upper Ground,London,SE1 9PX,public venue address
zone1,NW1,The British Library,96 Euston Road,London,NW1 2DB,public landmark address
zone1,N1,Business Design Centre,52 Upper Street,London,N1 0QH,public venue address
zone1,E1,Whitechapel Gallery,77-82 Whitechapel High Street,London,E1 7QX,public venue address
zone2,W2,Paddington Station,Praed Street,London,W2 1HQ,public transport address
zone2,W8,Design Museum,224-238 Kensington High Street,London,W8 6AG,public venue address
zone2,W9,Maida Vale Station,Elgin Avenue,London,W9 1JS,public transport address
zone2,W10,Museum of Brands,111-117 Lancaster Road,London,W10 6HJ,public venue address
zone2,W11,Notting Hill Gate Station,Notting Hill Gate,London,W11 3HT,public transport address
zone2,W14,Olympia London,Hammersmith Road,London,W14 8UX,public venue address
zone2,SW3,Saatchi Gallery,Duke of York's HQ King's Road,London,SW3 4RY,public venue address
zone2,SW5,Earl's Court Station,Earl's Court Road,London,SW5 9QA,public transport address
zone2,SW6,Stamford Bridge,Fulham Road,London,SW6 1HS,public stadium address
zone2,SW7,Science Museum,Exhibition Road,London,SW7 2DD,public museum address
zone2,SW10,Chelsea and Westminster Hospital,369 Fulham Road,London,SW10 9NH,public hospital address
zone2,SW11,Battersea Power Station,1 Electric Boulevard,London,SW11 8BJ,public retail address
zone2,SE5,King's College Hospital,Denmark Hill,London,SE5 9RS,public hospital address
zone2,SE11,Kennington Station,Kennington Park Road,London,SE11 4JQ,public transport address
zone2,SE15,Peckham Rye Station,Station Way,London,SE15 4RX,public transport address
zone2,SE16,Canada Water Station,Deal Porter Way,London,SE16 7BB,public transport address
zone2,E2,Bethnal Green Station,Cambridge Heath Road,London,E2 0ET,public transport address
zone2,E3,Bow Road Station,Bow Road,London,E3 2SJ,public transport address
zone2,E8,Hackney Central Station,Amhurst Road,London,E8 1LL,public transport address
zone2,E9,Hackney Wick Station,White Post Lane,London,E9 5TS,public transport address
zone2,E14,One Canada Square,One Canada Square,London,E14 5AB,public landmark address
zone2,N4,Finsbury Park Station,Station Place,London,N4 2DH,public transport address
zone2,N5,Highbury Fields,Highbury Crescent,London,N5 1AR,public park address
zone2,N7,Emirates Stadium,Hornsey Road,London,N7 7AJ,public stadium address
zone2,N16,Stoke Newington Town Hall,71 Stoke Newington Church Street,London,N16 0JR,public civic venue address
zone2,NW3,Hampstead Heath Station,South End Road,London,NW3 2QD,public transport address
zone2,NW5,Kentish Town Station,Kentish Town Road,London,NW5 2AA,public transport address
zone2,NW6,Kilburn High Road Station,Kilburn High Road,London,NW6 7QL,public transport address
zone2,NW8,Lord's Cricket Ground,St John's Wood Road,London,NW8 8QN,public stadium address
outer,W3,Acton Town Station,Gunnersbury Lane,London,W3 8HN,public transport address
outer,W4,Chiswick House,Burlington Lane,London,W4 2RP,public landmark address
outer,W5,Ealing Broadway Shopping Centre,The Broadway,London,W5 5JY,public retail address
outer,W6,Eventim Apollo,45 Queen Caroline Street,London,W6 9QH,public venue address
outer,W7,Hanwell Station,Station Approach,London,W7 3EB,public transport address
outer,W12,Westfield London,Ariel Way,London,W12 7GF,public retail address
outer,W13,Drayton Green Station,Drayton Green Road,London,W13 0JX,public transport address
outer,SW4,Clapham Common Station,The Pavement,London,SW4 7AA,public transport address
outer,SW8,Vauxhall Station,Vauxhall Cross,London,SW8 1SP,public transport address
outer,SW9,Brixton Station,Brixton Road,London,SW9 8HE,public transport address
outer,SW12,Balham Station,Balham High Road,London,SW12 9BW,public transport address
outer,SW13,Barnes Bridge Station,The Terrace,London,SW13 0NP,public transport address
outer,SW15,Putney Station,Putney High Street,London,SW15 1RT,public transport address
outer,SW16,Streatham Station,Streatham High Road,London,SW16 6HP,public transport address
outer,SW17,Tooting Broadway Station,Tooting High Street,London,SW17 0SU,public transport address
outer,SW18,Southside Shopping Centre,Wandsworth High Street,London,SW18 4TF,public retail address
outer,SW19,Wimbledon Station,Wimbledon Bridge,London,SW19 7NL,public transport address
outer,SE4,Brockley Station,Brockley Road,London,SE4 2RW,public transport address
outer,SE6,Catford Station,Catford Road,London,SE6 4XT,public transport address
outer,SE8,Deptford Station,Deptford High Street,London,SE8 4NS,public transport address
outer,SE10,Greenwich Market,Greenwich Market,London,SE10 9HZ,public market address
outer,SE13,Lewisham Shopping Centre,Molesworth Street,London,SE13 7HB,public retail address
outer,SE14,New Cross Gate Station,New Cross Road,London,SE14 6AR,public transport address
outer,SE17,Walworth Road,Walworth Road,London,SE17 1RL,public district address
outer,SE19,Crystal Palace Station,Crystal Palace Station Road,London,SE19 2AZ,public transport address
outer,SE21,North Dulwich Station,Red Post Hill,London,SE21 7BX,public transport address
outer,SE22,East Dulwich Station,Grove Vale,London,SE22 8EF,public transport address
outer,SE23,Forest Hill Station,Devonshire Road,London,SE23 3HB,public transport address
outer,SE24,Herne Hill Station,Railton Road,London,SE24 0JW,public transport address
outer,E5,Clapton Station,Upper Clapton Road,London,E5 9JP,public transport address
outer,E6,East Ham Station,High Street North,London,E6 2JA,public transport address
outer,E7,Forest Gate Station,Woodgrange Road,London,E7 0QH,public transport address
outer,E10,Leyton Station,High Road Leyton,London,E10 5PS,public transport address
outer,E11,Leytonstone Station,Church Lane,London,E11 1HE,public transport address
outer,E12,Manor Park Station,Station Road,London,E12 5BP,public transport address
outer,E15,Stratford Station,Station Street,London,E15 1AZ,public transport address
outer,E16,ExCeL London,Royal Victoria Dock,London,E16 1XL,public venue address
outer,E17,Walthamstow Central Station,Selborne Road,London,E17 7LP,public transport address
outer,N2,East Finchley Station,High Road,London,N2 0NW,public transport address
outer,N6,Highgate Station,Archway Road,London,N6 5BH,public transport address
outer,N8,Hornsey Station,Tottenham Lane,London,N8 9DJ,public transport address
outer,N10,Muswell Hill Broadway,Muswell Hill Broadway,London,N10 3RS,public district address
outer,N15,Seven Sisters Station,Seven Sisters Road,London,N15 5LA,public transport address
outer,N19,Archway Station,Junction Road,London,N19 5RQ,public transport address
outer,NW2,Willesden Green Station,Walm Lane,London,NW2 4QT,public transport address
outer,NW10,Willesden Junction Station,Old Oak Lane,London,NW10 4UY,public transport address
outer,NW11,Golders Green Station,North End Road,London,NW11 7RN,public transport address
